il_id,veri_id,deger
1,1,0.261698964541966
1,2,0.599219839869301
1,3,0.0540578460359176
1,4,0.343217665615142
1,5,0.438642297650131
1,6,0.28023598820059
1,7,1
1,8,0.571428571428571
1,9,0.148760330578512
1,10,0.40703125
1,11,0.3108
1,12,0.733333333333333
1,13,0.0386512171693951
1,14,0.0196078431372549
1,15,0.0406761223379774
1,16,0.0515182210077501
1,17,0.327040267946988
1,18,0.0277777777777777
1,19,0.0526315789473684
1,20,0.0555555555555555
1,21,0.0211807921320022
1,22,0.0418181818181818
1,23,0.0260393908022826
1,24,0.449216328699194
1,25,0.222188669472793
1,26,0.480684513738649
1,27,1
1,28,0.925842696629213
1,29,0.633544749823819
1,30,0.328265250045796
1,31,0.8
1,32,0.132117714199215
1,33,0.149619180920873
1,34,0.372857059586751
1,35,0.880620771985674
1,36,0.25
1,37,0.747791165301205
1,38,0.0875
1,39,0.474803378968832
1,40,0.72
1,41,0.542056074766355
1,42,0.233018071
1,43,0.313772455
1,44,0.072904586
1,45,0.329420924
1,46,0.505913131114354
1,47,0.104732017535671
1,48,0.113671041449525
1,49,0.597672627336319
1,50,0.517192160361312
1,51,0.16892113077388
2,1,0.116563917045407
2,2,0.151591643639988
2,3,0.0240945302233902
2,4,0.307045215562566
2,5,0.266318537859008
2,6,0.351032448377581
2,7,0.166945606694561
2,8,0.428571428571428
2,9,0.247933884297521
2,10,0.16640625
2,11,0.081
2,12,0.0666666666666666
2,13,0.0079992281240954
2,14,0
2,15,0.002619137274591
2,16,0.0124849826859202
2,17,0.113069515888541
2,18,0.0046296296296296
2,19,0
2,20,0.0555555555555555
2,21,0.0032585834049234
2,22,0.0052813852813852
2,23,0.0004053603167612
2,24,0.329938900203666
2,25,0.987792406173414
2,26,0.259093184897598
2,27,0.205296461213968
2,28,0.644943820224719
2,29,0.405214940098661
2,30,0.207730353544605
2,31,0.2
2,32,0.0346537361076505
2,33,0.0542235471615799
2,34,0.240561994961216
2,35,0.973471282663483
2,36,0.25
2,37,0.829718876144578
2,38,0
2,39,0.568016312263326
2,40,0.9
2,41,0.373831775700934
2,42,0.130663653
2,43,0.428400342
2,44,0.075655499
2,45,0.052313888
2,46,0.0512124864965868
2,47,0.0818840493619304
2,48,0.0278012046487897
2,49,0.435908152856832
2,50,0.498194392774896
2,51,0.0340920787167702
3,1,0.288367602145408
3,2,0.227530688749491
3,3,0.0147900240911081
3,4,0.631545741324921
3,5,0.268929503916449
3,6,0.707964601769911
3,7,0.328451882845188
3,8,0.285714285714286
3,9,0.380165289256198
3,10,0.736328125
3,11,0.1498
3,12,0.333333333333333
3,13,0.0261531556482292
3,14,0.0196078431372549
3,15,0.0209112589431404
3,16,0.0318955972768603
3,17,0.232269690210778
3,18,0.0023148148148148
3,19,0
3,20,0
3,21,0.0055395917883698
3,22,0.0101298701298701
3,23,0.0029169906982719
3,24,0.204728592933675
3,25,0.380660451502376
3,26,0.881951209013712
3,27,0.299367236934614
3,28,0.659550561797753
3,29,0.809725158562368
3,30,0.460249129877267
3,31,0.4
3,32,0.0406440823853544
3,33,0.0615672659189646
3,34,0.293324582745943
3,35,0.866255471547951
3,36,0.25
3,37,0.730120481927711
3,38,0.00625
3,39,0.551412758520245
3,40,0.81
3,41,0.598130841121495
3,42,0.23731695
3,43,0.416424294
3,44,0.239922759
3,45,0.072946952
3,46,0.125335502785421
3,47,0.0443738023995289
3,48,0.0398743762679822
3,49,0.631537496622427
3,50,0.134336672303147
3,51,0.0651984983481365
4,1,0.176664599800989
4,2,0.0260980055632449
4,3,0.0112721747700394
4,4,1
4,5,0.0443864229765012
4,6,0.666666666666667
4,7,0.002092050209205
4,8,0.142857142857143
4,9,0.702479338842975
4,10,0.7796875
4,11,0.5945
4,12,0.133333333333333
4,13,0.0050734434454415
4,14,0
4,15,0.0080666080917116
4,16,0.0062189347718546
4,17,0.0061992121222508
4,18,0
4,19,0
4,20,0
4,21,0.0006813401664839
4,22,0.0046753246753246
4,23,0.000223444852874
4,24,0.0850084122907993
4,25,0.774123356085377
4,26,0.0526421395087318
4,27,0.632763065385517
4,28,0.175280898876404
4,29,0.252995066948555
4,30,0.321853819380839
4,31,0
4,32,0.0349189179035832
4,33,0.0335375274935015
4,34,0.0631467141040614
4,35,0.982318609895212
4,36,0.25
4,37,0.762248996626506
4,38,0
4,39,0.559277599766967
4,40,1
4,41,0.233644859813084
4,42,0.124859155
4,43,0.08075278
4,44,0.414816093
4,45,0.005811935
4,46,0.0328357310079806
4,47,0.01317381733506
4,48,0.0104543591095399
4,49,0.268257208037419
4,50,0.634061669694949
4,51,0.0142325703057708
5,1,0.127126279017386
5,2,0.123221458666009
5,3,0.0168329774419623
